Problem/Soltuion,Number,hkroger,snehal,eschare,# Category, Category
Solution,654.1,1,1,1,3a,Caregiver Wellbeing
Problem,655,1,0,1,10a,General Information
Solution,655.1,*,*,*,*,*
Problem,656,0,1,1,10a,General Information
Solution,656.1,1,1,1,2a,Info Sources
Solution,656.2,0,1,1,3a,Caregiver Wellbeing
Problem,657,1,1,0,8d,Ethics
Solution,657.1,0,1,1,4d,Strategies to handle the patient
Solution,657.2,0,1,1,4d,Strategies to handle the patient
Problem,658,1,0,1,3d,Basic Hygiene
Solution,658.1,1,1,1,9c,Personal Care
Solution,658.2,0,1,1,3c,Caregiver Wellbeing
Problem,659,1,1,1,6h,Symptoms
Solution,659.1,1,1,1,3a,Caregiver Wellbeing
Solution,659.2,1,0,1,3a,Caregiver Wellbeing
Solution,659.3,1,1,1,3a,Caregiver Wellbeing
Problem,660,1,0,1,8e,Ethics
Solution,660.1,1,1,0,3a,Caregiver Wellbeing
Problem,661,*,*,*,*,*
Solution,661.1,0,1,1,1a,Contact Professional For Assitance
Solution,661.2,1,1,0,3a,Caregiver Wellbeing
Problem,662,1,0,1,6c,Symptoms
Solution,662.1,1,1,1,3a,Caregiver Wellbeing
Solution,662.2,1,0,1,3a,Caregiver Wellbeing
Problem,663,1,1,1,4b,Medicines
Solution,663.1,1,1,0,3a,Caregiver Wellbeing
Problem,664,1,0,1,8a,Ethics
Solution,664.1,1,1,1,1d,Contact Professional For Assitance
Solution,664.2,1,1,1,3a,Caregiver Wellbeing
Problem,665,*,*,*,*,*
Solution,665.1,1,0,1,2a,Info Sources
Solution,665.2,1,1,1,2a,Info Sources
Problem,666,*,*,*,*,*
Solution,666.1,0,1,1,5b,Doctor Consultations
Solution,666.2,0,1,1,5b,Doctor Consultations
Problem,667,1,1,0,7c,Physical Saftey
Solution,667.1,1,1,1,3c,Caregiver Wellbeing
Solution,667.2,1,1,0,4b,Strategies to handle the patient
Solution,667.3,*,*,*,*,*
Problem,668,1,1,1,9c,Doctors and Nursing Homes
Solution,668.1,1,1,1,8d,Home Care/Nursing Homes
Solution,668.2,*,*,*,*,*
Problem,669,*,*,*,*,*
Solution,669.1,1,0,1,1a,Contact Professional For Assitance
Problem,670,*,*,*,*,*
Solution,670.1,1,0,1,5a,Doctor Consultations
Solution,670.2,1,1,1,2a,Info Sources
Problem,671,*,*,*,*,*
Solution,671.1,1,1,0,3a,Caregiver Wellbeing
Solution,671.2,1,1,1,3c,Caregiver Wellbeing
Solution,671.3,1,1,1,1d,Contact Professional For Assitance
Problem,672,0,1,1,5d,Legal Financial
Solution,672.1,1,0,1,1a,Contact Professional For Assitance
Problem,673,*,*,*,*,*
Solution,673.1,1,1,0,9b,Personal Care
Solution,673.2,1,1,0,3a,Caregiver Wellbeing
Problem,674,*,*,*,*,*
Solution,674.1,*,*,*,*,*
Solution,674.2,1,1,1,2a,Info Sources
Solution,674.3,1,1,1,3c,Caregiver Wellbeing
Problem,675,1,1,0,10b,General Information
Solution,675.1,1,1,1,3a,Caregiver Wellbeing
Problem,676,*,*,*,*,*
Solution,676.1,1,0,1,8b,Home Care/Nursing Homes
Solution,676.2,1,1,0,3a,Caregiver Wellbeing
Problem,677,1,1,1,10a,General Information
Solution,677.1,1,1,1,2a,Info Sources
Solution,677.2,0,1,1,3a,Caregiver Wellbeing
Problem,678,1,0,1,9b,Doctors and Nursing Homes
Problem,679,1,1,1,10a,General Information
Solution,679.1,1,1,0,3a,Caregiver Wellbeing
Solution,679.2,1,1,1,2a,Info Sources
Problem,680,0,1,1,9e,Doctors and Nursing Homes
Solution,680.1,0,1,1,7a,Safety
Solution,680.2,*,*,*,*,*
Problem,681,1,1,1,2a,Conflicts
Solution,681.1,1,0,1,1a,Contact Professional For Assitance
Solution,681.2,1,1,0,3a,Caregiver Wellbeing
Problem,682,0,1,1,6k,Symptoms
Solution,682.1,1,1,0,2a,Info Sources
Solution,682.2,1,0,1,3c,Caregiver Wellbeing
Problem,683,1,1,1,9f,Doctors and Nursing Homes
Solution,683.1,1,1,1,3a,Caregiver Wellbeing
Solution,683.2,0,1,1,8e,Home Care/Nursing Homes
Problem,684,1,0,1,6a,Symptoms
Solution,684.1,*,*,*,*,*
Solution,684.2,1,1,1,2a,Info Sources
Problem,685,1,1,1,6k,Symptoms
Solution,685.1,1,0,1,5a,Doctor Consultations
Solution,685.2,1,1,0,7c,Safety
Problem,686,1,1,1,10a,General Information
Solution,686.1,1,0,1,2a,Info Sources
Solution,686.2,0,1,1,2a,Info Sources
Problem,687,*,*,*,*,*
Solution,687.1,*,*,*,*,*
Solution,687.2,1,1,1,1d,Contact Professional For Assitance
Solution,687.3,1,1,1,1d,Contact Professional For Assitance
Solution,687.4,0,1,1,3a,Caregiver Wellbeing
Problem,688,*,*,*,*,*
Solution,688.1,0,1,1,3a,Caregiver Wellbeing
Solution,688.2,1,0,1,5e,Doctor Consultations
Solution,688.3,*,*,*,*,*
Problem,689,1,1,0,7e,Physical Saftey
Solution,689.1,1,1,0,3a,Caregiver Wellbeing
Solution,689.2,1,0,1,2a,Info Sources
Problem,690,1,1,0,4b,Medicines
Solution,690.1,*,*,*,*,*
Solution,690.2,1,1,0,3c,Caregiver Wellbeing
Solution,690.3,1,0,1,2a,Info Sources
Problem,691,1,1,0,4a,Medicines
Solution,691.1,1,1,1,3a,Caregiver Wellbeing
Solution,691.2,*,*,*,*,*
Solution,691.3,*,*,*,*,*
Solution,691.4,*,*,*,*,*
Solution,691.5,*,*,*,*,*
Problem,692,1,1,1,3a,Basic Hygiene
Solution,692.1,1,1,1,7a,Safety
Solution,692.2,*,*,*,*,*
Problem,693,1,1,0,2d,Conflicts
Solution,693.1,1,1,0,3a,Caregiver Wellbeing
Solution,693.2,1,0,1,1a,Contact Professional For Assitance
Problem,694,1,1,1,6g,Symptoms
Solution,694.1,1,1,1,3a,Caregiver Wellbeing
Problem,695,*,*,*,*,*
Solution,695.1,1,0,1,5a,Doctor Consultations
Solution,695.2,0,1,1,2a,Info Sources
Problem,696,1,0,1,6f,Symptoms
Solution,696.1,*,*,*,*,*
Solution,696.2,1,1,0,4b,Strategies to handle the patient
Problem,697,1,1,1,5c,Legal Financial
Solution,697.1,*,*,*,*,*
Problem,698,1,1,1,8e,Ethics
Solution,698.1,1,1,1,2a,Info Sources
Problem,699,*,*,*,*,*
Solution,699.1,*,*,*,*,*
Problem,700,1,1,0,6a,Symptoms
Solution,700.1,1,1,1,4b,Strategies to handle the patient
Problem,701,*,*,*,*,*
Problem,702,1,1,1,6f,Symptoms
Solution,702.1,*,*,*,*,*
Solution,702.2,0,1,1,3b,Caregiver Wellbeing
Problem,703,1,1,1,9a,Doctors and Nursing Homes
Solution,703.1,1,0,1,1a,Contact Professional For Assitance
Problem,704,0,1,1,9c,Doctors and Nursing Homes
Solution,704.1,0,1,1,3a,Caregiver Wellbeing
Solution,704.2,1,1,0,3a,Caregiver Wellbeing
Problem,705,1,1,0,1a,Emotions of the Care Giver
Problem,706,*,*,*,*,*
Solution,706.1,1,1,1,2a,Info Sources
Problem,707,0,1,1,6a,Symptoms
Solution,707.1,1,0,1,2a,Info Sources
Problem,708,1,1,0,5h,Legal Financial
Solution,708.1,0,1,1,1a,Contact Professional For Assitance
Problem,709,*,*,*,*,*
Solution,709.1,1,0,1,7a,Safety
Solution,709.2,1,1,1,2a,Info Sources
Problem,710,*,*,*,*,*
Solution,710.1,*,*,*,*,*
Problem,711,1,1,1,9h,Doctors and Nursing Homes
Solution,711.1,1,1,0,3a,Caregiver Wellbeing
Problem,712,1,0,1,6e,Symptoms
Solution,712.1,0,1,1,3a,Caregiver Wellbeing
Problem,713,1,1,0,10b,General Information
Solution,713.1,0,1,1,3a,Caregiver Wellbeing
Problem,714,1,0,1,1d,Emotions of the Care Giver
Problem,715,1,1,0,6k,Symptoms
Solution,715.1,1,1,1,2a,Info Sources
Problem,716,1,0,1,10a,General Information
Problem,717,*,*,*,*,*
Solution,717.1,1,0,1,3c,Caregiver Wellbeing
Solution,717.2,*,*,*,*,*
Problem,718,1,0,1,6n,Symptoms
Solution,718.1,1,0,1,2a,Info Sources
Problem,719,0,1,1,2b,Conflicts
Solution,719.1,1,1,1,3a,Caregiver Wellbeing
Solution,719.2,0,1,1,3a,Caregiver Wellbeing
Problem,720,*,*,*,*,*
Solution,720.1,1,1,0,3c,Caregiver Wellbeing
Problem,721,1,1,0,9b,Doctors and Nursing Homes
Solution,721.1,0,1,1,3a,Caregiver Wellbeing
Solution,721.2,0,1,1,3d,Caregiver Wellbeing
Problem,722,1,0,1,9h,Doctors and Nursing Homes
Solution,722.1,1,0,1,8b,Home Care/Nursing Homes
Problem,723,1,0,1,6i,Symptoms
Solution,723.1,1,0,1,3a,Caregiver Wellbeing
Solution,723.2,1,1,1,1a,Contact Professional For Assitance
Problem,724,*,*,*,*,*
Solution,724.1,1,1,1,1b,Contact Professional For Assitance
Solution,724.2,1,0,1,1c,Contact Professional For Assitance
Solution,724.3,1,0,1,1d,Contact Professional For Assitance
Problem,725,*,*,*,*,*
Solution,725.1,1,1,1,8g,Home Care/Nursing Homes
Solution,725.2,0,1,1,3a,Caregiver Wellbeing
Problem,726,1,1,1,6g,Symptoms
Solution,726.1,1,0,1,2a,Info Sources
Solution,726.2,*,*,*,*,*
Solution,726.3,1,1,1,3c,Caregiver Wellbeing
Problem,727,1,0,1,9f,Doctors and Nursing Homes
Solution,727.1,1,1,1,3c,Caregiver Wellbeing
Solution,727.2,1,0,1,8c,Home Care/Nursing Homes
Solution,727.3,1,0,1,3c,Caregiver Wellbeing
Problem,728,1,0,1,6n,Symptoms
Solution,728.1,1,1,1,3a,Caregiver Wellbeing
Problem,729,*,*,*,*,*
Solution,729.1,1,1,1,2a,Info Sources
Problem,730,1,1,1,10a,General Information
Solution,730.1,1,1,1,2a,Info Sources
Problem,731,0,1,1,2d,Conflicts
Solution,731.1,*,*,*,*,*
Solution,731.2,1,1,1,3a,Caregiver Wellbeing
Solution,731.3,1,1,0,3b,Caregiver Wellbeing
Problem,732,1,0,1,8e,Ethics
Solution,732.1,*,*,*,*,*
Problem,733,1,1,1,10a,General Information
Solution,733.1,1,1,1,3a,Caregiver Wellbeing
Problem,734,*,*,*,*,*
Solution,734.1,1,1,1,3c,Caregiver Wellbeing
Solution,734.2,1,1,0,3c,Caregiver Wellbeing
Solution,734.3,1,1,1,3a,Caregiver Wellbeing
Problem,735,1,0,1,6c,Symptoms
Solution,735.1,1,1,1,3a,Caregiver Wellbeing
Solution,735.2,1,1,0,2a,Info Sources
Problem,736,1,1,1,10a,General Information
Solution,736.1,1,1,1,3a,Caregiver Wellbeing
Solution,736.2,1,0,1,2a,Info Sources
Problem,737,*,*,*,*,*
Solution,737.1,1,1,0,3a,Caregiver Wellbeing
Problem,738,0,1,1,6c,Symptoms
Solution,738.1,*,*,*,*,*
Problem,739,1,1,1,6g,Symptoms
Solution,739.1,1,1,1,3c,Caregiver Wellbeing
Solution,739.2,1,1,1,3c,Caregiver Wellbeing
Solution,739.3,1,1,1,3a,Caregiver Wellbeing
Problem,740,1,1,1,6a,Symptoms
Solution,740.1,1,1,1,2a,Info Sources
Solution,740.2,0,1,1,4b,Strategies to handle the patient
Problem,741,1,1,0,9c,Doctors and Nursing Homes
Solution,741.1,1,1,0,3a,Caregiver Wellbeing
Solution,741.2,1,1,1,8d,Home Care/Nursing Homes
Problem,742,1,1,1,9e,Doctors and Nursing Homes
Solution,742.1,1,1,1,1c,Contact Professional For Assitance
Solution,742.2,1,1,0,3a,Caregiver Wellbeing
Problem,743,*,*,*,*,*
Solution,743.1,1,1,1,2a,Info Sources
Problem,744,0,1,1,6b,Symptoms
Solution,744.1,*,*,*,*,*
Problem,745,1,1,1,9e,Doctors and Nursing Homes
Solution,745.1,1,0,1,1c,Contact Professional For Assitance
Problem,746,1,1,0,8d,Ethics
Solution,746.1,*,*,*,*,*
Problem,747,1,0,1,6a,Symptoms
Solution,747.1,1,1,1,2a,Info Sources
Problem,748,1,0,1,9b,Doctors and Nursing Homes
Solution,748.1,*,*,*,*,*
Solution,748.2,1,1,0,3c,Caregiver Wellbeing
Problem,749,1,1,1,6k,Symptoms
Solution,749.1,1,0,1,1a,Contact Professional For Assitance
Problem,750,1,1,0,8c,Ethics
Solution,750.1,*,*,*,*,*
Problem,751,1,1,1,5g,Legal Financial
Solution,751.1,1,1,1,2a,Info Sources
Problem,752,0,1,1,9h,Doctors and Nursing Homes
Solution,752.1,1,1,0,3a,Caregiver Wellbeing
Solution,752.2,*,*,*,*,*
Problem,753,*,*,*,*,*
Problem,754,*,*,*,*,*
Solution,754.1,1,1,1,4b,Strategies to handle the patient
Problem,755,1,1,1,7c,Physical Saftey
Solution,755.1,*,*,*,*,*
Problem,756,1,0,1,9h,Doctors and Nursing Homes
Solution,756.1,1,1,0,8a,Home Care/Nursing Homes
Problem,757,*,*,*,*,*
Solution,757.1,1,1,1,3a,Caregiver Wellbeing
Solution,757.2,1,1,0,3a,Caregiver Wellbeing
Problem,758,1,0,1,8e,Ethics
Solution,758.1,0,1,1,3a,Caregiver Wellbeing
Problem,759,1,0,1,6k,Symptoms
Solution,759.1,1,0,1,5a,Doctor Consultations
Problem,760,1,1,1,6b,Symptoms
Solution,760.1,1,1,1,2a,Info Sources
Problem,761,*,*,*,*,*
Solution,761.1,*,*,*,*,*
Solution,761.2,*,*,*,*,*
Problem,762,0,1,1,6a,Symptoms
Solution,762.1,*,*,*,*,*
Problem,763,1,1,0,1c,Emotions of the Care Giver
Solution,763.1,1,1,0,3b,Caregiver Wellbeing
Problem,764,*,*,*,*,*
Solution,764.1,1,1,1,3a,Caregiver Wellbeing
Problem,765,*,*,*,*,*
Solution,765.1,1,0,1,2a,Info Sources
Problem,766,1,1,1,6f,Symptoms
Solution,766.1,1,1,1,4f,Strategies to handle the patient
Problem,767,1,1,1,9e,Doctors and Nursing Homes
Solution,767.1,1,0,1,1a,Contact Professional For Assitance
Solution,767.2,0,1,1,8f,Home Care/Nursing Homes
Problem,768,1,1,1,7d,Physical Saftey
Solution,768.1,1,0,1,1a,Contact Professional For Assitance
Problem,769,1,1,0,6d,Symptoms
Solution,769.1,1,0,1,2a,Info Sources
Solution,769.2,0,1,1,3b,Caregiver Wellbeing
Problem,770,1,0,1,9e,Doctors and Nursing Homes
Solution,770.1,*,*,*,*,*
Problem,771,1,1,0,4b,Medicines
Solution,771.1,1,1,1,5e,Doctor Consultations
Problem,772,1,1,1,3c,Basic Hygiene
Solution,772.1,*,*,*,*,*
Solution,772.2,1,0,1,1a,Contact Professional For Assitance
Problem,773,1,1,1,9i,Doctors and Nursing Homes
Solution,773.1,0,1,1,1e,Contact Professional For Assitance
Solution,773.2,1,1,1,3c,Caregiver Wellbeing
Solution,773.3,1,1,0,3a,Caregiver Wellbeing
Solution,773.4,1,1,0,3c,Caregiver Wellbeing
Solution,773.5,*,*,*,*,*
Problem,774,1,0,1,4a,Medicines
Solution,774.1,1,1,0,3a,Caregiver Wellbeing
Problem,775,*,*,*,*,*
Solution,775.1,*,*,*,*,*
Problem,776,1,1,0,9a,Doctors and Nursing Homes
Solution,776.1,*,*,*,*,*
Problem,777,1,1,1,4b,Medicines
Solution,777.1,1,1,0,3c,Caregiver Wellbeing
Problem,778,1,1,0,4b,Medicines
Solution,778.1,1,1,0,3c,Caregiver Wellbeing
Problem,779,1,1,0,9a,Doctors and Nursing Homes
Problem,780,1,1,1,6c,Symptoms
Solution,780.1,1,0,1,1a,Contact Professional For Assitance
Problem,781,1,1,0,2d,Conflicts
Solution,781.1,1,1,1,3a,Caregiver Wellbeing
Solution,781.2,1,1,0,3a,Caregiver Wellbeing
Solution,781.3,*,*,*,*,*
Problem,782,1,1,0,6g,Symptoms
Solution,782.1,1,1,1,3a,Caregiver Wellbeing
Solution,782.2,1,0,1,3c,Caregiver Wellbeing
Problem,783,1,1,1,3a,Basic Hygiene
Solution,783.1,1,1,1,9b,Personal Care
Solution,783.2,1,1,0,3a,Caregiver Wellbeing
Problem,784,1,1,1,1a,Emotions of the Care Giver
Solution,784.1,0,1,1,3c,Caregiver Wellbeing
Solution,784.2,1,1,0,3a,Caregiver Wellbeing
Solution,784.3,1,1,0,3c,Caregiver Wellbeing
Solution,784.4,1,1,0,3a,Caregiver Wellbeing
Problem,785,*,*,*,*,*
Problem,786,1,1,0,10b,General Information
Solution,786.1,*,*,*,*,*
Solution,786.2,0,1,1,3c,Caregiver Wellbeing
Problem,787,0,1,1,5d,Legal Financial
Solution,787.1,*,*,*,*,*
Solution,787.2,0,1,1,3a,Caregiver Wellbeing
Solution,787.3,1,0,1,1c,Contact Professional For Assitance
Solution,787.4,*,*,*,*,*
Solution,787.5,1,1,1,1a,Contact Professional For Assitance
Problem,788,1,1,0,9a,Doctors and Nursing Homes
Solution,788.1,1,0,1,1c,Contact Professional For Assitance
Solution,788.2,1,0,1,1a,Contact Professional For Assitance
Solution,788.3,1,0,1,1a,Contact Professional For Assitance
Problem,789,1,1,0,5a,Legal Financial
Solution,789.1,1,1,1,3c,Caregiver Wellbeing
Solution,789.2,1,1,0,3a,Caregiver Wellbeing
Solution,789.3,1,1,0,3a,Caregiver Wellbeing
Problem,790,1,1,1,6b,Symptoms
Solution,790.1,*,*,*,*,*
Solution,790.2,0,1,1,1a,Contact Professional For Assitance
Problem,791,1,0,1,9a,Doctors and Nursing Homes
Solution,791.1,*,*,*,*,*
Solution,791.2,1,1,0,3a,Caregiver Wellbeing
Problem,792,1,1,1,6b,Symptoms
Solution,792.1,1,1,1,3a,Caregiver Wellbeing
Solution,792.2,1,0,1,8g,Home Care/Nursing Homes
Problem,793,1,1,1,9b,Doctors and Nursing Homes
Solution,793.1,1,0,1,5e,Doctor Consultations
Solution,793.2,1,0,1,5e,Doctor Consultations
Solution,793.3,1,1,0,3c,Caregiver Wellbeing
Problem,794,1,1,0,7d,Physical Saftey
Solution,794.1,1,0,1,2a,Info Sources
Solution,794.2,1,1,0,7a,Safety
Problem,795,*,*,*,*,*
Solution,795.1,0,1,1,3d,Caregiver Wellbeing
Problem,796,1,1,1,6b,Symptoms
Problem,797,1,1,0,10a,General Information
Solution,797.1,1,1,0,3c,Caregiver Wellbeing
Solution,797.2,1,1,0,3c,Caregiver Wellbeing
Problem,798,1,1,1,6k,Symptoms
Solution,798.1,*,*,*,*,*
Solution,798.2,*,*,*,*,*
Solution,798.3,1,1,1,2a,Info Sources
Problem,799,0,1,1,1b,Emotions of the Care Giver
Solution,799.1,1,1,0,3a,Caregiver Wellbeing
Solution,799.2,1,1,1,3c,Caregiver Wellbeing
Solution,799.3,*,*,*,*,*
Problem,800,*,*,*,*,*
Solution,800.1,1,1,1,3a,Caregiver Wellbeing
Solution,800.2,1,1,1,3a,Caregiver Wellbeing
Problem,801,1,1,1,5e,Legal Financial
Solution,801.1,*,*,*,*,*
Solution,801.2,1,0,1,1e,Contact Professional For Assitance
Solution,801.3,1,0,1,1e,Contact Professional For Assitance
Problem,802,*,*,*,*,*
Solution,802.1,*,*,*,*,*
Solution,802.2,1,1,0,3c,Caregiver Wellbeing
Problem,803,*,*,*,*,*
Solution,803.1,1,1,0,8g,Home Care/Nursing Homes
Solution,803.2,1,0,1,1a,Contact Professional For Assitance
Problem,804,1,1,0,6e,Symptoms
Solution,804.1,1,0,1,2a,Info Sources
Solution,804.2,*,*,*,*,*
Problem,805,1,1,1,9f,Doctors and Nursing Homes
Solution,805.1,*,*,*,*,*
Problem,806,1,1,0,3c,Basic Hygiene
Solution,806.1,1,1,1,2a,Info Sources
Solution,806.2,*,*,*,*,*
Problem,807,1,1,1,6b,Symptoms
Solution,807.1,1,0,1,3a,Caregiver Wellbeing
Problem,808,*,*,*,*,*
Solution,808.1,1,0,1,2a,Info Sources
Solution,808.2,*,*,*,*,*
Problem,809,1,1,1,4a,Medicines
Solution,809.1,1,1,0,3a,Caregiver Wellbeing
Solution,809.2,1,0,1,5a,Doctor Consultations
Problem,810,1,0,1,6j,Symptoms
Solution,810.1,1,1,0,3a,Caregiver Wellbeing
Solution,810.2,*,*,*,*,*
Problem,811,*,*,*,*,*
Solution,811.1,1,1,0,3a,Caregiver Wellbeing
Solution,811.2,1,1,1,3a,Caregiver Wellbeing
Problem,812,*,*,*,*,*
Solution,812.1,1,0,1,5a,Doctor Consultations
Problem,813,1,1,1,9h,Doctors and Nursing Homes
Solution,813.1,1,1,0,3a,Caregiver Wellbeing
Solution,813.2,1,1,0,3a,Caregiver Wellbeing
Problem,814,1,1,1,6f,Symptoms
Solution,814.1,1,1,1,5a,Doctor Consultations
Solution,814.2,*,*,*,*,*
Problem,815,1,1,1,6e,Symptoms
Solution,815.1,0,1,1,5a,Doctor Consultations
Solution,815.2,1,0,1,5a,Doctor Consultations
Problem,816,1,1,1,6k,Symptoms
Solution,816.1,1,1,1,2a,Info Sources
Solution,816.2,1,1,0,3a,Caregiver Wellbeing
Problem,817,0,1,1,6a,Symptoms
Solution,817.1,1,0,1,3a,Caregiver Wellbeing
Solution,817.2,*,*,*,*,*
Solution,817.3,1,1,1,2a,Info Sources
Solution,817.4,*,*,*,*,*
Problem,818,*,*,*,*,*
Solution,818.1,*,*,*,*,*
Problem,819,1,1,1,4b,Medicines
Solution,819.1,1,0,1,2a,Info Sources
Solution,819.2,0,1,1,3a,Caregiver Wellbeing
Solution,819.3,*,*,*,*,*
Solution,819.4,1,1,0,3c,Caregiver Wellbeing
Problem,820,1,1,1,6n,Symptoms
Solution,820.1,1,1,1,2a,Info Sources
Solution,820.2,1,1,1,5a,Doctor Consultations
Problem,821,1,1,1,9a,Doctors and Nursing Homes
Solution,821.1,1,0,1,1a,Contact Professional For Assitance
Solution,821.2,1,0,1,2a,Info Sources
Problem,822,*,*,*,*,*
Solution,822.1,1,1,0,3a,Caregiver Wellbeing
Solution,822.2,1,0,1,8e,Home Care/Nursing Homes
Solution,822.3,*,*,*,*,*
Problem,823,*,*,*,*,*
Solution,823.1,0,1,1,3a,Caregiver Wellbeing
Problem,824,1,1,1,6g,Symptoms
Solution,824.1,*,*,*,*,*
Solution,824.2,1,1,1,3a,Caregiver Wellbeing
Problem,825,*,*,*,*,*
Solution,825.1,0,1,1,6c,Medication
Solution,825.2,*,*,*,*,*
Problem,826,1,0,1,6c,Symptoms
Solution,826.1,0,1,1,3c,Caregiver Wellbeing
Problem,827,1,1,1,6c,Symptoms
Problem,828,1,0,1,3a,Basic Hygiene
Solution,828.1,1,0,1,2a,Info Sources
Problem,829,*,*,*,*,*
Solution,829.1,1,1,0,3a,Caregiver Wellbeing
Solution,829.2,1,1,1,2a,Info Sources
Problem,830,1,1,0,10b,General Information
Solution,830.1,*,*,*,*,*
Solution,830.2,1,0,1,3a,Caregiver Wellbeing
Problem,831,1,1,1,3a,Basic Hygiene
Solution,831.1,1,1,0,3c,Caregiver Wellbeing
Solution,831.2,0,1,1,7a,Safety
Problem,832,0,1,1,9e,Doctors and Nursing Homes
Solution,832.1,*,*,*,*,*
Solution,832.2,1,1,1,1a,Contact Professional For Assitance
Problem,833,*,*,*,*,*
Solution,833.1,*,*,*,*,*
Solution,833.2,*,*,*,*,*
Solution,833.3,1,1,0,3a,Caregiver Wellbeing
Problem,834,1,1,1,4a,Medicines
Solution,834.1,1,1,0,3a,Caregiver Wellbeing
Problem,835,0,1,1,9a,Doctors and Nursing Homes
Solution,835.1,*,*,*,*,*
Problem,836,0,1,1,2d,Conflicts
Solution,836.1,0,1,1,3a,Caregiver Wellbeing
Solution,836.2,1,1,1,3a,Caregiver Wellbeing
Problem,837,*,*,*,*,*
Solution,837.1,0,1,1,5a,Doctor Consultations
Solution,837.2,1,1,0,3a,Caregiver Wellbeing
Problem,838,1,1,0,10b,General Information
Solution,838.1,1,1,1,2a,Info Sources
Solution,838.2,*,*,*,*,*
Problem,839,1,1,1,11a,Solutions
Solution,839.1,1,1,1,2a,Info Sources
Problem,840,0,1,1,6n,Symptoms
Solution,840.1,1,1,1,2a,Info Sources
Solution,840.2,1,1,0,3c,Caregiver Wellbeing
Solution,840.3,0,1,1,5a,Doctor Consultations
Problem,841,*,*,*,*,*
Solution,841.1,*,*,*,*,*
Solution,841.2,*,*,*,*,*
Solution,841.3,1,0,1,2a,Info Sources
Problem,842,0,1,1,3d,Basic Hygiene
Solution,842.1,1,1,0,3a,Caregiver Wellbeing
Solution,842.2,1,0,1,9c,Personal Care
Problem,843,1,1,0,3c,Basic Hygiene
Solution,843.1,1,1,0,3a,Caregiver Wellbeing
Solution,843.2,1,0,1,5a,Doctor Consultations
Problem,844,1,1,0,7h,Physical Saftey
Solution,844.1,1,0,1,2a,Info Sources
Solution,844.2,*,*,*,*,*
Solution,844.3,1,1,0,3a,Caregiver Wellbeing
Problem,845,*,*,*,*,*
Solution,845.1,1,1,1,2a,Info Sources
Solution,845.2,0,1,1,2a,Info Sources
Solution,845.3,1,1,0,3a,Caregiver Wellbeing
Problem,846,1,1,1,4a,Medicines
Solution,846.1,1,1,1,2a,Info Sources
Solution,846.2,1,1,1,2a,Info Sources
Problem,847,1,1,0,9c,Doctors and Nursing Homes
Solution,847.1,1,1,1,2a,Info Sources
Solution,847.2,1,1,1,8e,Home Care/Nursing Homes
Solution,847.3,1,1,0,3a,Caregiver Wellbeing
Problem,848,0,1,1,6l,Symptoms
Solution,848.1,1,1,1,3a,Caregiver Wellbeing
Solution,848.2,1,1,1,3a,Caregiver Wellbeing
Solution,848.3,*,*,*,*,*
Problem,849,*,*,*,*,*
Solution,849.1,1,1,0,3c,Caregiver Wellbeing
Problem,850,1,1,0,10b,General Information
Solution,850.1,1,1,0,3a,Caregiver Wellbeing
Solution,850.2,1,1,0,3a,Caregiver Wellbeing
